,type
638073.cif,1
58118.cif,1
36533.cif,0
600155.cif,1
105844.cif,1
165741.cif,1
643288.cif,1
410630.cif,0
619670.cif,1
673579.cif,1
190774.cif,0
69489.cif,0
633509.cif,1
653389.cif,1
419716.cif,0
72390.cif,1
255897.cif,0
408432.cif,0
673029.cif,1
162007.cif,1
280320.cif,0
624706.cif,1
103092.cif,1
163085.cif,0
200166.cif,0
72613.cif,0
248843.cif,0
151924.cif,1
42417.cif,1
20066.cif,1
265371.cif,0
44807.cif,1
603144.cif,1
636915.cif,1
613415.cif,1
244364.cif,0
190851.cif,0
107096.cif,1
623215.cif,1
77105.cif,1
36289.cif,0
611908.cif,1
99702.cif,0
202814.cif,0
380360.cif,0
619275.cif,1
200610.cif,0
39241.cif,0
240879.cif,0
90269.cif,1
419078.cif,0
98065.cif,0
422004.cif,1
155841.cif,1
90483.cif,0
653490.cif,1
3327.cif,0
673035.cif,1
424478.cif,1
62295.cif,1
26397.cif,0
81469.cif,1
256837.cif,0
72289.cif,0
9030.cif,0
99128.cif,1
670959.cif,1
193226.cif,1
630153.cif,1
62640.cif,0
50294.cif,0
604292.cif,1
414242.cif,0
615683.cif,1
601842.cif,1
672264.cif,1
237691.cif,0
52787.cif,1
187637.cif,1
676227.cif,1
627220.cif,1
89550.cif,1
630571.cif,1
164898.cif,1
260252.cif,1
80523.cif,1
427334.cif,0
601082.cif,1
425664.cif,0
264486.cif,0
24016.cif,0
62028.cif,1
69607.cif,0
639074.cif,1
172821.cif,0
631913.cif,1
429458.cif,1
245539.cif,1
25027.cif,0
26139.cif,0
88802.cif,0
262227.cif,0
79379.cif,0
646219.cif,1
195376.cif,1
16247.cif,1
29408.cif,0
291041.cif,0
88832.cif,0
671007.cif,1
620822.cif,1
2507.cif,0
37447.cif,0
83427.cif,0
617462.cif,1
168212.cif,1
87518.cif,1
23715.cif,1
648621.cif,1
170238.cif,1
109976.cif,1
57719.cif,1
63025.cif,0
630764.cif,1
645007.cif,0
290448.cif,0
98525.cif,1
249164.cif,0
255771.cif,0
77227.cif,1
409534.cif,1
12150.cif,1
49545.cif,0
255932.cif,0
99664.cif,1
300278.cif,0
193097.cif,1
426473.cif,0
98964.cif,1
261705.cif,1
162105.cif,1
290867.cif,0
413388.cif,1
421092.cif,1
611225.cif,1
618129.cif,1
650615.cif,1
183537.cif,1
55104.cif,1
151815.cif,0
72460.cif,0
610034.cif,1
168328.cif,1
185367.cif,0
413705.cif,0
638326.cif,1
238139.cif,1
76793.cif,1
608005.cif,1
411.cif,1
606713.cif,1
37133.cif,0
181751.cif,1
68361.cif,0
674194.cif,0
612074.cif,1
19023.cif,0
424699.cif,0
65656.cif,0
641586.cif,1
153055.cif,1
88164.cif,1
255946.cif,0
415207.cif,1
91279.cif,0
248123.cif,0
193686.cif,1
198310.cif,1
602560.cif,1
42953.cif,1
14035.cif,0
671317.cif,1
604549.cif,1
102366.cif,1
97511.cif,0
674615.cif,1
611798.cif,1
67701.cif,1
651965.cif,1
82639.cif,1
614046.cif,1
31577.cif,0
639752.cif,1
28531.cif,1
37108.cif,0
247056.cif,0
429148.cif,0
99098.cif,1
240480.cif,1
409583.cif,0
425231.cif,1
77046.cif,0
92316.cif,1
281320.cif,0
191559.cif,1
429742.cif,0
15120.cif,0
190838.cif,1
670310.cif,1
628040.cif,1
49650.cif,0
173537.cif,0
238483.cif,0
420297.cif,0
150624.cif,1
413662.cif,0
290194.cif,1
674998.cif,0
49622.cif,0
85362.cif,1
642690.cif,1
635163.cif,1
110206.cif,0
603423.cif,1
419946.cif,0
672235.cif,1
603510.cif,1
255684.cif,0
608444.cif,1
649242.cif,1
9017.cif,1
172034.cif,0
66959.cif,1
79940.cif,1
675529.cif,0
19066.cif,0
9232.cif,1
239061.cif,1
83228.cif,0
605961.cif,1
623143.cif,1
39647.cif,0
59476.cif,1
77869.cif,1
247053.cif,0
630088.cif,1
261145.cif,0
27812.cif,0
634160.cif,1
182309.cif,0
69588.cif,0
18188.cif,1
30636.cif,0
20814.cif,1
168717.cif,0
239650.cif,0
156958.cif,1
2832.cif,1
651033.cif,1
67279.cif,0
244166.cif,1
8154.cif,1
54315.cif,1
640317.cif,1
91243.cif,1
37200.cif,0
52755.cif,1
637367.cif,1
164738.cif,1
23115.cif,1
81835.cif,0
103983.cif,1
423221.cif,1
9706.cif,0
617469.cif,1
168543.cif,1
41317.cif,0
188847.cif,0
424364.cif,0
36641.cif,0
107371.cif,1
9286.cif,0
412515.cif,1
99217.cif,0
948.cif,0
675352.cif,0
73706.cif,0
99181.cif,1
58388.cif,1
646388.cif,1
70112.cif,1
58479.cif,1
174396.cif,0
672826.cif,1
611955.cif,1
258763.cif,0
637299.cif,1
642386.cif,1
27467.cif,0
104495.cif,1
44143.cif,1
27379.cif,0
40671.cif,0
676250.cif,1
634700.cif,1
252120.cif,0
62577.cif,0
162840.cif,1
610918.cif,1
625038.cif,1
631359.cif,1
639331.cif,1
85664.cif,1
54047.cif,0
643979.cif,1
412558.cif,0
249843.cif,0
243532.cif,1
92573.cif,0
262033.cif,1
261450.cif,0
155805.cif,1
244336.cif,0
200239.cif,1
22206.cif,0
39286.cif,1
109362.cif,1
251688.cif,1
238791.cif,0
427734.cif,0
611722.cif,1
615709.cif,1
261700.cif,0
249360.cif,0
240728.cif,1
602926.cif,1
417149.cif,1
602674.cif,1
202551.cif,1
39371.cif,1
252392.cif,0
55551.cif,1
4212.cif,1
34316.cif,1
56408.cif,1
51198.cif,0
185991.cif,1
42247.cif,1
647117.cif,1
260479.cif,1
672258.cif,1
431821.cif,0
72321.cif,0
58450.cif,1
110221.cif,0
36078.cif,0
63052.cif,0
621903.cif,1
182809.cif,1
422806.cif,1
418451.cif,0
185277.cif,0
168713.cif,0
631164.cif,1
103252.cif,1
675299.cif,1
8294.cif,0
428555.cif,1
170708.cif,0
409635.cif,1
260263.cif,1
50159.cif,1
187060.cif,0
183089.cif,1
99492.cif,1
673953.cif,1
616202.cif,1
676185.cif,1
281563.cif,0
33924.cif,1
260183.cif,0
671496.cif,1
82400.cif,0
16118.cif,1
611899.cif,1
38417.cif,0
54075.cif,1
201434.cif,0
621211.cif,1
236268.cif,1
413312.cif,1
20659.cif,1
183443.cif,0
417452.cif,1
652976.cif,1
84208.cif,1
150218.cif,1
280650.cif,1
24739.cif,0
80401.cif,0
652697.cif,1
202249.cif,0
240720.cif,0
671702.cif,1
166625.cif,0
184791.cif,0
36365.cif,0
633354.cif,1
203173.cif,0
401331.cif,0
51148.cif,0
627233.cif,1
197883.cif,1
670964.cif,1
290658.cif,0
243872.cif,0
254247.cif,0
627748.cif,1
418301.cif,0
430827.cif,0
58297.cif,1
608642.cif,0
263928.cif,0
151327.cif,0
425018.cif,1
245680.cif,1
67233.cif,0
432014.cif,0
254165.cif,0
646879.cif,1
59922.cif,0
26501.cif,1
4642.cif,1
85439.cif,0
239966.cif,0
90291.cif,1
675771.cif,1
613336.cif,1
20726.cif,0
65282.cif,0
264655.cif,0
188260.cif,1
260386.cif,0
106069.cif,1
180883.cif,1
241403.cif,0
428450.cif,0
201439.cif,1
69503.cif,0
427676.cif,0
670021.cif,0
649102.cif,1
653352.cif,1
109211.cif,1
410757.cif,0
607253.cif,1
162408.cif,0
641029.cif,1
33808.cif,0
56077.cif,1
40254.cif,0
939.cif,0
600498.cif,1
671999.cif,1
109763.cif,0
676177.cif,1
644780.cif,1
629030.cif,1
290326.cif,0
675549.cif,0
264416.cif,0
633753.cif,1
246133.cif,0
257608.cif,0
58736.cif,1
30849.cif,1
624881.cif,1
36634.cif,0
73029.cif,1
110738.cif,0
107490.cif,0
658870.cif,1
250416.cif,0
670522.cif,1
39549.cif,1
75469.cif,0
423094.cif,0
603185.cif,0
9865.cif,1
108903.cif,1
412866.cif,1
107337.cif,1
102313.cif,1
153274.cif,1
629805.cif,1
2854.cif,0
409575.cif,1
94043.cif,1
94401.cif,0
616488.cif,1
658829.cif,1
85021.cif,0
262433.cif,1
419083.cif,1
262950.cif,1
110468.cif,1
262891.cif,1
69793.cif,1
633581.cif,1
280012.cif,0
32659.cif,1
1389.cif,0
165429.cif,0
641751.cif,1
74868.cif,0
63117.cif,0
417388.cif,1
415012.cif,1
43869.cif,1
651509.cif,1
4236.cif,0
86104.cif,1
37416.cif,1
400325.cif,1
164172.cif,0
96438.cif,0
254694.cif,0
261756.cif,0
190729.cif,0
430922.cif,0
676009.cif,1
631062.cif,1
43.cif,0
404533.cif,0
265039.cif,1
1289.cif,0
15554.cif,0
601673.cif,1
291136.cif,1
72342.cif,0
188755.cif,0
636389.cif,1
420488.cif,1
421431.cif,1
69994.cif,0
21015.cif,0
110598.cif,0
35668.cif,1
79277.cif,0
265176.cif,0
255186.cif,0
676159.cif,1
249334.cif,0
44788.cif,0
110369.cif,0
26407.cif,0
31571.cif,1
195139.cif,1
628205.cif,1
676094.cif,1
90777.cif,1
15638.cif,1
106418.cif,1
6145.cif,0
160512.cif,1
263028.cif,1
627747.cif,1
602051.cif,1
87158.cif,1
420056.cif,0
27231.cif,0
414578.cif,0
44109.cif,0
1999.cif,0
24815.cif,0
248300.cif,0
402094.cif,1
28373.cif,0
418156.cif,1
421903.cif,0
629421.cif,1
631172.cif,1
76830.cif,1
57642.cif,1
391464.cif,1
244825.cif,1
79440.cif,0
262231.cif,0
78010.cif,0
237376.cif,1
26826.cif,1
30518.cif,0
31916.cif,1
107595.cif,0
627092.cif,0
73544.cif,1
194800.cif,0
419114.cif,0
71479.cif,1
186055.cif,1
600979.cif,1
6084.cif,0
628708.cif,1
80041.cif,0
672810.cif,1
99689.cif,0
636712.cif,1
76503.cif,0
104588.cif,1
158335.cif,0
2092.cif,1
614695.cif,1
633602.cif,1
43660.cif,1
83227.cif,0
152535.cif,1
33779.cif,0
635225.cif,1
184558.cif,0
420001.cif,0
72824.cif,0
109948.cif,0
78905.cif,0
429209.cif,0
621922.cif,1
166874.cif,1
67309.cif,0
635274.cif,0
99076.cif,1
39573.cif,0
623359.cif,1
9000.cif,0
236828.cif,1
171470.cif,0
638761.cif,1
76608.cif,0
86274.cif,0
190116.cif,1
56178.cif,1
422389.cif,0
193998.cif,0
110271.cif,0
400651.cif,0
259676.cif,0
60646.cif,1
674799.cif,0
281324.cif,0
59985.cif,0
76621.cif,1
6101.cif,0
61431.cif,0
634563.cif,1
182096.cif,1
110674.cif,1
73825.cif,0
189149.cif,0
62224.cif,0
431880.cif,1
16685.cif,0
97854.cif,0
41017.cif,1
26210.cif,1
417454.cif,1
23335.cif,0
16325.cif,1
239599.cif,0
422708.cif,0
172980.cif,1
95652.cif,0
636745.cif,1
162988.cif,1
672458.cif,1
95870.cif,0
636825.cif,1
59394.cif,0
107091.cif,1
244732.cif,0
416295.cif,0
419898.cif,1
428811.cif,0
249533.cif,1
78765.cif,0
12116.cif,0
50083.cif,1
239056.cif,1
259236.cif,1
634751.cif,1
185339.cif,1
37272.cif,0
620199.cif,1
89252.cif,0
61290.cif,1
183199.cif,0
170879.cif,0
60941.cif,1
617408.cif,1
39568.cif,0
620728.cif,1
23343.cif,0
192802.cif,1
167599.cif,0
674598.cif,1
413183.cif,0
262975.cif,0
263812.cif,0
34190.cif,0
416304.cif,0
614850.cif,1
676162.cif,1
670709.cif,1
411629.cif,0
77304.cif,1
77936.cif,1
88600.cif,0
247274.cif,1
640691.cif,1
183448.cif,0
84736.cif,0
674633.cif,1
44866.cif,1
406521.cif,0
675373.cif,1
624795.cif,1
93674.cif,1
84623.cif,0
425794.cif,1
608918.cif,1
103911.cif,1
95527.cif,0
621955.cif,1
265041.cif,1
624665.cif,1
81547.cif,1
191648.cif,1
256576.cif,0
417959.cif,0
171041.cif,0
154234.cif,0
189054.cif,0
672978.cif,0
615150.cif,1
672281.cif,1
638512.cif,1
158144.cif,0
55804.cif,1
409182.cif,1
106272.cif,1
98122.cif,1
52628.cif,1
619625.cif,1
611155.cif,1
652894.cif,1
105819.cif,1
255652.cif,0
237971.cif,1
35545.cif,1
614953.cif,1
611428.cif,1
623138.cif,1
673681.cif,1
612999.cif,1
649771.cif,1
152745.cif,1
96783.cif,0
151329.cif,1
659254.cif,1
241932.cif,0
160045.cif,1
43646.cif,1
406210.cif,0
51028.cif,0
48007.cif,1
26444.cif,0
418604.cif,0
86148.cif,0
5311.cif,0
42269.cif,0
29439.cif,0
623653.cif,1
173881.cif,0
200441.cif,0
58681.cif,1
24783.cif,0
75214.cif,0
241217.cif,1
10439.cif,1
238723.cif,0
608249.cif,1
104604.cif,1
280296.cif,0
612092.cif,1
672888.cif,1
192463.cif,1
608150.cif,1
636748.cif,1
670806.cif,1
67272.cif,0
15863.cif,1
247972.cif,1
430359.cif,0
96629.cif,0
195302.cif,0
62985.cif,0
16675.cif,1
69888.cif,1
84309.cif,1
671218.cif,1
172184.cif,0
672157.cif,1
412588.cif,0
643250.cif,1
75986.cif,0
79404.cif,0
415051.cif,0
633948.cif,1
56913.cif,0
51956.cif,1
38339.cif,0
634550.cif,1
431207.cif,0
10481.cif,1
417911.cif,1
55774.cif,1
241881.cif,0
260988.cif,1
656551.cif,1
641173.cif,1
162013.cif,1
408045.cif,1
186537.cif,1
59310.cif,0
616880.cif,1
671579.cif,1
86731.cif,1
185634.cif,1
98617.cif,0
92308.cif,1
249157.cif,0
96019.cif,1
154150.cif,0
53143.cif,1
109603.cif,0
419826.cif,0
86200.cif,1
106558.cif,1
89558.cif,1
27371.cif,0
156957.cif,1
264892.cif,0
621030.cif,1
31651.cif,1
606259.cif,1
14112.cif,0
156367.cif,1
650474.cif,1
428674.cif,1
99953.cif,0
202495.cif,0
2958.cif,0
71651.cif,1
291510.cif,1
74028.cif,0
25002.cif,0
249481.cif,0
76797.cif,1
156887.cif,1
161713.cif,1
422825.cif,0
244523.cif,0
645008.cif,0
280622.cif,1
83676.cif,1
196417.cif,0
430240.cif,0
56501.cif,0
636468.cif,1
95799.cif,1
423917.cif,1
413716.cif,0
262399.cif,0
621366.cif,1
611958.cif,1
250178.cif,0
182625.cif,1
181905.cif,1
89503.cif,0
15219.cif,1
9339.cif,0
23470.cif,1
202438.cif,1
64716.cif,1
426414.cif,1
254832.cif,0
23116.cif,1
244034.cif,0
254463.cif,0
30890.cif,0
104404.cif,1
189330.cif,1
28675.cif,0
84296.cif,0
193783.cif,0
291600.cif,0
69010.cif,0
169689.cif,1
425464.cif,0
672131.cif,1
635465.cif,1
103957.cif,1
673780.cif,1
400127.cif,0
186749.cif,0
420546.cif,0
53236.cif,1
636550.cif,1
28693.cif,0
432067.cif,0
62362.cif,0
93894.cif,1
96205.cif,0
93050.cif,0
649467.cif,1
418029.cif,1
93155.cif,1
195083.cif,0
156265.cif,1
614480.cif,1
606285.cif,1
73946.cif,0
16175.cif,0
26362.cif,0
25824.cif,1
160931.cif,1
168685.cif,1
670139.cif,1
412013.cif,1
671790.cif,1
33241.cif,0
419134.cif,1
671518.cif,0
430097.cif,1
165068.cif,0
623672.cif,1
671859.cif,1
8143.cif,0
251543.cif,0
423962.cif,0
491556.cif,1
56721.cif,1
74702.cif,1
157892.cif,0
40800.cif,1
673025.cif,1
65078.cif,0
256898.cif,0
255886.cif,1
152948.cif,0
602716.cif,1
171643.cif,0
191595.cif,1
674106.cif,1
68252.cif,0
642550.cif,1
246305.cif,0
75223.cif,0
676175.cif,1
672243.cif,1
174058.cif,0
290829.cif,1
159495.cif,0
413355.cif,0
62325.cif,0
191664.cif,1
90200.cif,1
107104.cif,1
72815.cif,0
56108.cif,0
68453.cif,0
157333.cif,1
419349.cif,0
671955.cif,0
87984.cif,1
73124.cif,0
657246.cif,1
615406.cif,1
386.cif,0
402173.cif,0
188731.cif,0
26830.cif,0
165681.cif,1
650129.cif,1
670833.cif,1
55103.cif,1
74931.cif,0
67820.cif,0
4013.cif,0
73894.cif,0
63592.cif,1
672683.cif,1
611809.cif,1
416968.cif,0
710075.cif,1
380173.cif,0
238785.cif,0
425174.cif,0
58763.cif,1
192443.cif,0
150142.cif,1
103720.cif,1
93165.cif,1
98341.cif,1
104343.cif,1
639274.cif,1
19063.cif,1
640763.cif,1
672121.cif,1
74396.cif,0
69533.cif,0
430408.cif,0
54283.cif,1
94460.cif,0
60069.cif,0
84949.cif,1
91887.cif,1
423569.cif,1
86388.cif,1
672123.cif,1
188694.cif,1
150147.cif,1
280804.cif,0
86960.cif,1
612695.cif,1
56117.cif,1
189217.cif,1
673696.cif,1
431435.cif,0
620293.cif,1
156409.cif,1
620601.cif,1
97354.cif,1
28845.cif,1
110521.cif,0
23258.cif,0
58449.cif,1
623642.cif,1
629010.cif,1
411077.cif,1
43418.cif,1
14151.cif,0
251781.cif,0
186556.cif,1
414583.cif,0
419169.cif,1
106831.cif,1
251784.cif,0
291294.cif,0
80615.cif,0
300254.cif,0
425067.cif,1
79872.cif,1
169739.cif,0
430223.cif,0
88188.cif,1
419067.cif,1
676178.cif,1
613542.cif,1
77236.cif,1
431518.cif,0
200078.cif,0
676257.cif,1
14381.cif,1
187257.cif,1
97022.cif,1
55335.cif,1
2526.cif,1
93721.cif,0
104346.cif,1
76400.cif,1
391439.cif,1
79119.cif,0
184846.cif,0
610296.cif,1
58276.cif,1
252582.cif,0
255303.cif,0
73258.cif,0
2346.cif,0
98506.cif,1
642531.cif,1
9920.cif,0
251669.cif,0
609705.cif,1
30745.cif,0
626045.cif,1
99673.cif,1
167480.cif,0
249614.cif,0
634080.cif,1
15385.cif,0
635443.cif,1
74720.cif,1
635221.cif,1
24479.cif,1
87997.cif,1
670311.cif,1
614877.cif,1
601363.cif,1
710015.cif,1
237388.cif,0
107887.cif,1
151845.cif,1
625128.cif,1
67390.cif,1
44293.cif,1
635267.cif,1
106466.cif,1
640078.cif,1
80473.cif,0
2146.cif,1
172482.cif,1
613529.cif,1
61679.cif,1
256588.cif,0
671714.cif,1
400934.cif,0
601847.cif,1
628693.cif,1
252381.cif,0
675942.cif,1
407796.cif,0
183823.cif,0
58878.cif,1
605275.cif,1
640013.cif,1
50787.cif,0
611521.cif,1
430118.cif,0
19079.cif,1
411179.cif,0
672254.cif,1
73765.cif,0
189695.cif,1
67249.cif,0
96126.cif,0
63203.cif,0
105593.cif,1
413719.cif,0
28474.cif,0
104636.cif,1
44523.cif,0
154834.cif,1
39707.cif,0
169702.cif,1
23550.cif,1
10382.cif,0
646262.cif,1
636181.cif,1
409528.cif,0
60959.cif,0
191286.cif,1
20632.cif,1
88213.cif,1
93593.cif,0
84174.cif,1
34451.cif,1
59121.cif,1
613905.cif,1
636270.cif,1
673731.cif,1
40980.cif,0
23878.cif,0
281715.cif,0
649208.cif,1
60524.cif,0
58626.cif,1
280995.cif,0
262322.cif,0
616277.cif,1
39509.cif,1
430857.cif,0
65802.cif,0
238222.cif,0
244842.cif,0
79947.cif,0
255744.cif,0
411782.cif,0
257792.cif,1
18030.cif,0
8243.cif,0
68429.cif,0
39650.cif,1
262066.cif,1
52337.cif,0
170029.cif,0
424312.cif,1
630461.cif,1
71613.cif,1
96510.cif,0
247421.cif,1
60933.cif,0
263792.cif,0
79995.cif,0
607130.cif,1
58497.cif,1
418123.cif,1
417824.cif,0
57641.cif,1
671471.cif,1
74291.cif,0
433033.cif,0
2643.cif,0
191953.cif,0
39418.cif,0
418265.cif,1
80438.cif,0
6086.cif,0
58567.cif,1
424283.cif,0
413000.cif,0
4410.cif,0
615737.cif,1
656268.cif,1
407832.cif,0
65516.cif,0
671023.cif,1
154517.cif,1
603732.cif,1
76776.cif,1
423294.cif,1
430430.cif,0
58801.cif,1
65145.cif,0
637688.cif,1
670721.cif,1
615379.cif,1
258002.cif,0
74607.cif,0
81542.cif,1
671044.cif,1
108760.cif,1
249115.cif,0
39785.cif,0
620612.cif,1
609479.cif,1
635272.cif,0
97110.cif,0
91233.cif,0
109314.cif,1
181506.cif,1
621346.cif,1
157517.cif,1
26744.cif,1
9151.cif,0
240158.cif,1
61493.cif,0
425544.cif,0
74019.cif,0
170094.cif,0
248162.cif,0
248719.cif,0
201461.cif,0
615438.cif,1
623797.cif,1
407819.cif,1
674657.cif,1
255814.cif,0
88016.cif,0
9078.cif,0
195602.cif,0
15005.cif,0
8125.cif,0
431072.cif,0
101011.cif,1
249323.cif,0
182020.cif,1
171194.cif,1
418734.cif,0
72334.cif,0
416244.cif,1
673018.cif,1
651545.cif,1
619006.cif,1
658749.cif,1
656289.cif,1
26458.cif,1
633675.cif,1
410732.cif,1
109765.cif,0
25796.cif,1
180954.cif,0
56127.cif,1
280945.cif,0
623231.cif,1
422453.cif,1
58088.cif,1
30292.cif,1
158298.cif,0
674125.cif,0
675479.cif,1
616136.cif,1
670339.cif,1
409742.cif,0
428849.cif,0
81220.cif,0
652642.cif,1
614821.cif,1
74985.cif,1
676298.cif,1
648033.cif,1
606369.cif,1
263940.cif,0
2939.cif,0
109846.cif,1
614256.cif,1
93052.cif,1
431257.cif,1
186177.cif,1
658807.cif,1
61196.cif,1
87546.cif,1
428574.cif,0
52074.cif,1
60186.cif,1
109962.cif,1
60647.cif,0
676200.cif,1
21054.cif,0
426435.cif,0
674897.cif,1
86117.cif,0
98233.cif,1
250038.cif,1
258311.cif,0
35179.cif,0
634761.cif,1
109982.cif,0
413518.cif,1
643816.cif,1
431969.cif,1
83191.cif,0
420051.cif,0
263805.cif,0
671880.cif,0
156309.cif,1
254331.cif,0
79394.cif,1
79992.cif,1
633210.cif,1
201975.cif,1
412955.cif,0
160650.cif,1
107212.cif,1
81008.cif,0
166486.cif,0
672029.cif,1
97704.cif,1
12.cif,0
291570.cif,1
25822.cif,1
6088.cif,1
434043.cif,1
418822.cif,0
80014.cif,1
30638.cif,1
635498.cif,1
300270.cif,1
198265.cif,1
83392.cif,0
261898.cif,0
73199.cif,1
261116.cif,0
280066.cif,0
31665.cif,0
608469.cif,1
52152.cif,0
656265.cif,1
642680.cif,1
102906.cif,1
87356.cif,1
261671.cif,1
415259.cif,0
81306.cif,1
94409.cif,1
290930.cif,0
161272.cif,0
261248.cif,0
191244.cif,1
639451.cif,1
90445.cif,1
59229.cif,1
645618.cif,1
156996.cif,1
58203.cif,1
69293.cif,1
36659.cif,0
85746.cif,0
250874.cif,0
262375.cif,1
52292.cif,0
417029.cif,1
109607.cif,1
672972.cif,1
634828.cif,1
165235.cif,0
36316.cif,1
77330.cif,1
60513.cif,0
183312.cif,1
414556.cif,0
201059.cif,1
152601.cif,1
171187.cif,0
200499.cif,1
1866.cif,1
425985.cif,0
607186.cif,1
630021.cif,1
66771.cif,1
620726.cif,1
74414.cif,1
31875.cif,1
30964.cif,0
15581.cif,0
401456.cif,0
78754.cif,1
645596.cif,1
35486.cif,0
260833.cif,0
9935.cif,1
640732.cif,1
670761.cif,1
27194.cif,0
261333.cif,0
636488.cif,1
196273.cif,1
160788.cif,1
36585.cif,0
615002.cif,1
67828.cif,0
627022.cif,1
186574.cif,1
69102.cif,0
3209.cif,0
201760.cif,0
611087.cif,1
265038.cif,0
431425.cif,0
97687.cif,0
621731.cif,1
674879.cif,1
260189.cif,0
642521.cif,1
624660.cif,1
58154.cif,1
623396.cif,1
673131.cif,1
290710.cif,1
422417.cif,1
630176.cif,1
105491.cif,1
62494.cif,0
256746.cif,0
648985.cif,1
59805.cif,0
76958.cif,1
644656.cif,1
640311.cif,1
413487.cif,1
31032.cif,0
72350.cif,1
107450.cif,1
69002.cif,0
260000.cif,0
636762.cif,1
85073.cif,0
24181.cif,1
673033.cif,1
645645.cif,1
623154.cif,1
192916.cif,0
675459.cif,1
173697.cif,1
88161.cif,1
99464.cif,0
86439.cif,0
676075.cif,0
657990.cif,1
63293.cif,1
60010.cif,1
82876.cif,1
611242.cif,1
110260.cif,0
188503.cif,0
2023.cif,0
254642.cif,0
79218.cif,0
23882.cif,0
102047.cif,1
603098.cif,1
23762.cif,1
109181.cif,0
636554.cif,1
419193.cif,1
90748.cif,1
675777.cif,1
61289.cif,1
605276.cif,1
2278.cif,0
9152.cif,0
262232.cif,0
623869.cif,1
86142.cif,1
262995.cif,0
165340.cif,0
41238.cif,1
605934.cif,1
676260.cif,1
402768.cif,0
105817.cif,1
47228.cif,0
9564.cif,1
419772.cif,0
109157.cif,0
85410.cif,0
291407.cif,0
51435.cif,1
40265.cif,0
97506.cif,0
605138.cif,1
409176.cif,0
638877.cif,1
170693.cif,0
637639.cif,1
610528.cif,1
42426.cif,1
108707.cif,1
659383.cif,1
617766.cif,1
150643.cif,1
411252.cif,0
159774.cif,1
196721.cif,1
81232.cif,0
23825.cif,0
201209.cif,0
49623.cif,0
98522.cif,0
30986.cif,0
76818.cif,1
2919.cif,0
22048.cif,1
188945.cif,1
253470.cif,1
421809.cif,1
25364.cif,1
36645.cif,0
246731.cif,0
419251.cif,0
676286.cif,1
263311.cif,0
67388.cif,0
19027.cif,0
63621.cif,1
634317.cif,1
637563.cif,1
94453.cif,0
73599.cif,1
187149.cif,1
675106.cif,1
189164.cif,0
50506.cif,1
170760.cif,0
2131.cif,0
431005.cif,1
418152.cif,1
413984.cif,1
82864.cif,0
646786.cif,1
614777.cif,1
430933.cif,1
601593.cif,1
62490.cif,0
256996.cif,0
77316.cif,1
110016.cif,0
91527.cif,0
672966.cif,1
104314.cif,1
74154.cif,1
602078.cif,1
407556.cif,0
93867.cif,0
409668.cif,1
173685.cif,1
236397.cif,1
244107.cif,0
647877.cif,1
247263.cif,1
193727.cif,0
38332.cif,0
255229.cif,1
194878.cif,1
18161.cif,1
416955.cif,1
43849.cif,1
624001.cif,1
619779.cif,1
415576.cif,1
630201.cif,1
58222.cif,1
55452.cif,1
280044.cif,0
80924.cif,0
68767.cif,0
62351.cif,0
670048.cif,1
103839.cif,1
58509.cif,1
25322.cif,1
263943.cif,1
77282.cif,1
434244.cif,0
238104.cif,0
103292.cif,1
191184.cif,1
95059.cif,0
409898.cif,0
642576.cif,1
59562.cif,1
105863.cif,1
241678.cif,0
53269.cif,1
674502.cif,1
65775.cif,1
5057.cif,0
25351.cif,1
260019.cif,0
154513.cif,1
10304.cif,0
650116.cif,1
2809.cif,0
602102.cif,1
419256.cif,0
611.cif,1
238929.cif,0
624868.cif,1
674991.cif,0
34105.cif,0
625031.cif,1
33525.cif,0
634879.cif,1
602633.cif,1
60625.cif,0
163754.cif,1
238099.cif,0
608204.cif,1
640916.cif,1
63616.cif,1
16788.cif,1
17018.cif,1
201252.cif,0
648779.cif,1
68793.cif,1
636917.cif,1
15484.cif,1
39322.cif,1
638625.cif,1
161752.cif,1
405497.cif,0
32724.cif,1
181897.cif,1
244124.cif,0
632709.cif,1
25623.cif,1
672895.cif,1
647205.cif,1
635901.cif,1
415727.cif,1
427176.cif,0
621960.cif,1
2343.cif,0
172405.cif,0
611070.cif,1
88211.cif,1
237729.cif,1
18156.cif,0
424175.cif,1
618575.cif,1
35012.cif,1
280599.cif,0
82788.cif,0
291970.cif,1
425684.cif,1
4933.cif,0
171011.cif,0
281617.cif,0
608986.cif,1
614700.cif,1
630958.cif,1
106583.cif,1
169111.cif,0
639339.cif,1
95896.cif,0
87985.cif,1
76617.cif,1
48006.cif,1
77703.cif,1
3095.cif,0
609454.cif,1
391125.cif,1
2719.cif,0
657422.cif,1
30613.cif,1
194358.cif,1
184990.cif,1
23293.cif,1
105156.cif,1
251540.cif,0
187371.cif,1
89699.cif,0
191647.cif,1
615765.cif,1
193886.cif,1
54015.cif,0
635876.cif,1
636367.cif,1
42006.cif,1
35051.cif,1
608238.cif,1
89468.cif,0
3076.cif,0
616242.cif,1
675017.cif,1
53124.cif,1
96227.cif,1
249797.cif,0
674048.cif,1
191678.cif,0
181560.cif,0
163344.cif,1
632465.cif,1
73031.cif,1
81315.cif,1
625292.cif,1
110513.cif,0
670324.cif,1
632165.cif,1
620916.cif,1
90591.cif,1
260956.cif,0
